year,variable,std,lon,lat,ENSOMIEV29,ENSOMIEV30,ENSOMIEV31,ENSOMIEV32,ensomiev1,ensomiev2,ensomiev3,ensomiev4,ensomiev5,ensomiev6,ensomiev7,ensomiev8,ensomiev9,ensomievG,PDO9,PDO10,PDO11,PDO12,pdo1,pdo2,pdo3,pdo4,pdo5,pdo6,pdo7,pdo8,pdo9,pdoG,NAO9,NAO10,NAO11,NAO12,Nao1,Nao2,Nao3,Nao4,Nao5,Nao6,Nao7,Nao8,Nao9,GNAO,AO9,AO10,AO11,AO12,Ao1,Ao2,Ao3,Ao4,Ao5,Ao6,Ao7,Ao8,Ao9,GAO,HAIBING9,HAIBING10,HAIBING11,HAIBING12,haibing1,haibing2,haibing3,haibing4,haibing5,haibing6,haibing7,haibing8,haibing9,Ghaibing
1995,X1002,0.841,108.5,37.1,-1.055,-2.078,-0.09,-0.322,0.99,-0.094,1.403,-0.457,-0.514,-0.485,0.595,1.094,-0.619,-0.125538462,-1.11,1.032,1.462,0.278,0.324,0.171,1.236,1.563,0.131,1.795,-0.319,0.506,-0.019,0.542307692,-0.823,0.393,-1.098,0.243,-0.961,-0.578,-0.212,0.02,-0.194,0.752,-0.321,-1.16,-0.374,-0.331769231,1.121,-0.421,-0.924,-1.258,1.699,0.253,-0.291,-2.253,0.742,1.968,1.152,-0.519,1.269,0.195230769,-0.029,0.277,0.007,-0.466,0.65,-0.802,0.108,0.036,-0.546,-0.085,1.538,1.826,-0.806,0.131384615
1996,X1002,1.055,108.5,37.1,0.476,-0.091,1.071,-1.148,1.676,0.142,-0.189,0.945,-1.203,-0.7,0.054,-1.423,-0.666,-0.081230769,-1.161,-0.989,-1.7,-0.502,0.314,1.311,0.231,-0.751,-0.307,-0.06,-0.431,0.627,0.184,-0.248769231,1.447,1.286,-2.285,1.216,-0.687,0.193,-0.651,-0.586,0.369,-0.455,-1.361,0.795,1.67,0.073153846,0.817,-2.514,-0.31,0.188,1.962,0.442,-1.455,0.586,1.484,-1.144,-0.027,-0.593,1.55,0.075846154,-0.496,1.496,-1.811,1.973,-0.624,0.518,-0.464,-0.116,1.133,-1.235,0.719,0.646,-0.311,0.109846154
1997,X1002,0.952,108.5,37.1,1.379,1.187,-1.351,0.354,0.915,1.222,0.91,-0.738,-0.228,-0.253,0.567,1.022,-0.875,0.316230769,-0.413,0.313,-1.813,-1.372,0.426,-0.078,0.517,1.378,1.095,0.52,0.155,-0.889,0.718,0.042846154,1.25,1.115,-0.244,-1.581,-1.446,1.622,1.976,-0.443,-0.505,0.19,0.8,-1.066,0.304,0.151692308,-1.292,0.073,-0.726,0.182,-0.012,-0.321,0.553,1.234,0.919,-1.639,1.19,1.646,0.333,0.164615385,-0.57,-1.46,-0.075,-1.79,-0.655,0.651,0.25,-1.5,0.071,1.463,0.448,-0.516,-0.455,-0.318307692
1998,X1002,0.941,108.5,37.1,0.456,1.192,-0.523,0.425,1.144,0.214,-0.222,0.346,-0.276,-1.585,-0.464,0.688,0.146,0.118538462,0.952,-1.16,1.144,-0.394,1.216,-1.583,1.026,1.261,2.259,0.21,-0.403,-1.204,-0.85,0.190307692,-0.933,0.252,-0.294,0.398,0.654,0.65,1.569,-0.218,0.693,1.5,-0.106,-0.513,-0.13,0.270923077,1.342,-0.373,1.28,-1.041,-1.275,-0.398,1.907,-0.072,-0.419,-2.507,-0.202,1.565,0.94,0.057461538,0.606,-0.118,0.255,0.864,0.288,0.063,-1.548,1.303,-0.901,0.288,-0.823,-1.139,-2.624,-0.268153846
1999,X1002,0.99,108.5,37.1,-1.136,-0.789,-0.249,0.648,0.903,-0.851,-2.298,-0.9,-0.73,0.111,1.285,-0.307,0.593,-0.286153846,-0.92,1.467,1.349,2.689,-0.954,1.631,-0.166,-0.647,-0.579,-0.037,-1.295,1.777,0.674,0.383769231,-1.068,2.052,-0.821,-0.002,-0.228,0.061,-0.114,1.128,-0.25,1.159,0.048,-1.066,-0.061,0.064461538,0.757,0.857,0.309,-0.407,1.584,1.361,-1.709,0.423,-0.491,-0.646,0.68,-1.881,1.016,0.142538462,-1.306,-0.021,-0.671,-1.177,-0.993,-0.367,0.583,-1.687,-1.606,-0.328,1.416,1.704,0.47,-0.306384615
2000,X1002,0.861,108.5,37.1,-0.436,-1.548,-0.996,-1.22,0.475,-0.47,-0.88,-0.37,1.834,0.632,-0.358,-0.02,1.449,-0.146769231,0.118,0.27,0.372,-0.11,1.399,-0.822,-0.792,1.569,0.845,0.448,0.28,-1.918,0.005,0.128,-0.331,-1.053,-2.245,0.92,0.563,0.264,0.511,-0.669,-0.656,0.124,1.666,-0.643,-0.604,-0.165615385,-1.24,1.51,0.185,0.078,-0.08,-2.2,-0.632,1.677,-2.022,-0.576,0.907,-1.353,-0.948,-0.361076923,-0.073,-0.371,-0.746,1.114,-1.018,-0.191,-0.388,2.104,-1.211,-1.404,0.149,0.236,-0.12,-0.147615385
2001,X1002,1.073,108.5,37.1,0.346,2.458,-1.04,0.107,-0.583,0.686,0.223,-0.041,0.257,-1.283,-0.58,0.488,-1.566,-0.040615385,-0.203,1.067,0.242,-0.223,-0.961,-0.981,-0.282,1.666,1.118,-0.057,0.763,-1.11,-0.36,0.052230769,-1.994,-1.303,-1.366,-0.822,-0.212,-0.518,-1.141,-0.638,1.501,-0.288,-2.643,0.817,0.269,-0.641384615,-1.241,-1.622,-0.771,2.801,0.477,0.225,-0.796,-0.817,-0.591,0.907,-0.873,-1.289,-0.643,-0.325615385,-0.141,0.866,-0.722,0.609,1.073,2.204,-0.098,-0.463,-0.029,-2.38,1.189,-0.052,0.32,0.182769231
2002,X1002,0.96,108.5,37.1,-0.647,-0.162,-0.018,-0.944,-0.533,-2.336,1.447,-0.612,2.394,-1.413,1.042,0.661,0.395,-0.055846154,0.793,0.388,-0.621,0.179,-1.635,-0.616,-1.333,0.626,0.406,-0.869,1.67,-0.325,1.118,-0.016846154,0.493,2.459,1.492,-0.563,-1.463,0.895,0.585,0.079,-1.45,0.313,-0.274,-0.629,-0.969,0.074461538,1.485,0.14,1.766,-0.16,-1.471,1.68,0.957,0.262,0.759,1.261,-1.764,-0.054,-0.236,0.355769231,-0.703,-0.326,1.938,0.681,1.125,-0.15,0.666,-0.066,0.119,1.489,0.653,-0.121,2.436,0.595461538
2003,X1002,1.103,108.5,37.1,-2.158,-0.097,-0.132,0,-1.601,1.095,-0.593,-1.946,0.824,2.232,1.115,-1.714,-0.153,-0.240615385,0.038,-0.108,0.339,-1.169,2.206,-0.996,0.05,0.892,0.47,-0.089,-1.453,-0.073,0.247,0.027230769,-0.078,-0.793,-1.115,1.05,-1.061,0.209,-0.563,0.335,0.322,-0.601,-0.196,1.491,0.191,-0.062230769,1.377,-0.974,1.169,-1.656,1.732,-0.575,-0.49,1.371,-0.099,0.16,-0.313,0.264,0.081,0.157461538,0.211,-0.592,1.534,-1.139,-0.367,-0.409,0.726,0.225,-0.897,1.804,-0.375,-1.193,0.149,-0.024846154
2004,X1002,1.27,108.5,37.1,0.884,0.421,-2.549,1.343,-0.006,-1.567,0.276,0.243,-1.265,0.24,0.681,1.459,0.285,0.034230769,-0.168,0.75,-0.452,0.751,0.816,0.197,0.504,-1.013,1.226,1.217,1.425,-0.629,-0.789,0.295,-1.717,1.591,-0.022,0.35,0.746,-0.626,-0.144,-1.828,-0.263,0.173,0.783,0.234,-1.866,-0.199153846,0.377,1.101,0.419,0.064,1.689,-0.769,-1.628,0.616,0.758,-0.245,0.283,0.529,-0.493,0.207769231,0.797,0.414,-0.324,-0.727,0.843,-0.18,0.102,-0.6,-0.116,0.839,0.483,-0.941,2.043,0.202538462
2005,X1002,1.158,108.5,37.1,-0.829,-1.614,1.041,-0.504,0.899,0.022,-0.965,0.475,-0.753,0.053,0.221,-1.408,-1.032,-0.338,-0.584,-1.103,2.043,0.719,0.763,0.333,-1.047,1.864,0.121,0.57,-1.024,-1.353,-1.268,0.002615385,-0.238,0.822,-0.341,-0.779,-0.765,-0.535,-0.837,-1.369,-0.107,1.04,-0.974,-0.008,-0.291,-0.337076923,0.364,0.005,1.697,-0.235,0.17,0.707,-0.544,0.187,1.003,-0.52,-0.174,-0.113,1.051,0.276769231,-0.511,-0.171,-2.076,-2.361,0.145,-0.532,-0.071,1.553,1.285,-0.964,0.016,-1.007,0.434,-0.327692308
2006,X1002,1.002,108.5,37.1,-0.574,-0.728,0.25,0.717,1.032,-0.19,-1.016,0.137,0.273,-0.199,1.595,-2.081,0.046,-0.056769231,0.892,-1.433,-0.449,-0.348,0.631,-0.361,-0.869,-0.594,-1.978,0.395,-0.187,-0.094,0.341,-0.311846154,-0.045,-0.429,1.686,-0.843,-1.424,0.533,-2.128,0.044,-0.102,-0.623,-0.426,-1.315,1.105,-0.305153846,1.608,0.489,0.163,-0.483,-0.597,1.085,-1.421,-0.854,0.921,0.907,-0.372,0.584,-1.092,0.072153846,-0.716,0.336,-0.843,-0.84,0.238,0.209,-1.831,-0.316,-0.017,1.414,0.623,-1.228,0.889,-0.160153846
2007,X1002,1.229,108.5,37.1,1.504,-1.54,2.416,-0.75,0.095,1.293,-0.777,-0.489,-0.578,0.493,-1.011,0.954,-1.154,0.035076923,1.139,-0.631,-3.137,0.059,-0.209,0.822,-1.108,-0.361,0.447,-0.114,-1.211,-1.284,-0.758,-0.488153846,0.837,0.014,0.144,-0.769,-1.62,-0.947,-1.399,0.874,-0.817,0.954,-0.616,0.335,-0.408,-0.262923077,-1.52,-0.338,-0.395,0.717,-2.209,-0.725,-0.459,-1.245,2.078,-0.737,-1.845,-1.353,-1.338,-0.720692308,1.939,-1.548,-0.635,-1.276,-0.1,0.965,1.369,0.587,0.05,0.814,-2.062,0.408,-0.857,-0.026615385
2008,X1002,1.156,108.5,37.1,-0.774,-0.693,0.685,-0.479,-0.548,0.189,1.369,0.9,0.354,0.037,1.138,-1.512,0.66,0.102,0.019,0.264,0.5,-0.505,1.009,0.446,-0.04,0.512,-1.288,0.553,1.529,-0.498,1.808,0.331461538,-0.055,-0.402,2.027,0.322,-0.594,0.715,0.842,0.209,-0.635,0.883,0.311,-0.093,0.67,0.323076923,0.004,1.434,-2.524,0.348,-0.381,1.069,-0.921,-0.655,0.826,-0.164,-1.697,-2.042,1.109,-0.276461538,-0.161,0.13,-1.043,-0.172,1.432,0.167,0.581,-0.392,0.48,-1.322,-0.405,0.798,0.537,0.048461538
2009,X1002,1.038,108.5,37.1,0.846,0.119,-0.447,0.439,3.291,0.102,0.94,1.078,0.733,-0.546,1.714,-0.224,-0.946,0.546076923,3.272,-0.414,-1.257,0.69,1.436,-1.279,1.417,0.103,-0.612,-2.03,0.14,0.423,0.545,0.187230769,-0.713,0.099,1.045,0.76,0.345,0.838,-1.35,-0.613,-0.511,0.719,-0.025,0.647,2.065,0.254307692,-0.157,-1.39,-0.929,0.234,0.735,-1.035,-0.724,0.894,-0.521,-0.551,-1.447,-0.837,0.811,-0.378230769,-2.786,1.148,0.77,-0.192,-1.61,-0.572,2.355,-1.45,1.402,1.789,-1.352,-1.349,-0.714,-0.197
2010,X1002,0.964,108.5,37.1,-1.261,-1.365,2.797,-0.679,0.737,0.698,0.594,-2.374,0.421,-0.432,0.055,-1.347,0.064,-0.160923077,-0.003,-0.465,0.823,-1.659,-1.562,0.66,-0.633,1.683,-0.24,-0.069,-0.043,1.03,-2.737,-0.247307692,-0.641,-0.496,-1.548,-1.281,-0.347,-0.973,-0.598,-0.209,0.944,0.652,0.461,-0.969,1.027,-0.306,0.448,1.11,-1.759,0.746,0.769,-0.595,-0.354,0.511,-0.661,-0.517,-1.123,-1.274,-0.876,-0.275,0.558,-0.826,-0.364,-0.776,1.361,0.303,-0.28,-1.636,-1.753,-1.716,0.374,-0.971,-0.643,-0.489923077
2011,X1002,0.814,108.5,37.1,-0.355,0.59,2.832,-1.703,1.421,-0.827,1.115,1.125,-0.135,-0.344,0.586,-1.795,-2.127,0.029461538,2.924,0.921,-1.546,-0.222,-1.143,-1.299,-0.629,-0.735,-2.122,-1.498,0.437,1.101,-1.023,-0.371846154,1.352,-1.074,0.108,0.621,-0.531,1.203,-0.956,0.97,0.97,-0.46,-0.549,1.681,0.638,0.305615385,-0.449,2.09,-2.344,-0.522,-0.615,0.686,-0.811,1.157,1.587,-0.061,-1.315,0.471,0.207,0.006230769,0.833,-2.082,0.447,-0.632,0.719,-0.683,0.864,-1.871,-1.256,-1.914,-1.079,-0.722,-0.458,-0.602615385
2012,X1002,1.202,108.5,37.1,-0.074,0.289,-1.219,1.265,-0.338,-0.196,-0.424,-1.78,-0.644,-0.32,0.61,-0.442,0.327,-0.226615385,-0.134,-0.502,-0.259,0.623,-0.723,-0.084,-0.025,-0.538,-0.184,-0.405,2.856,0.91,-1.246,0.022230769,-0.303,0.688,0.458,0.398,-0.067,-0.351,-0.145,0.763,0.771,0.923,-0.294,0.357,0.78,0.306,0.544,0.771,-2.616,0.238,1.637,0.685,-1.224,-0.742,-0.011,0.18,-0.112,-1.913,-0.296,-0.219923077,-0.159,0.58,-0.06,-1.752,0.317,-0.878,-0.273,1.036,-1.777,0.532,-1.178,-0.651,0.148,-0.316538462
2013,X1002,0.892,108.5,37.1,-1.169,-0.904,0.469,0.36,-0.038,1.178,0.76,-0.345,-1.289,-0.752,1.194,0.647,1.108,0.093769231,-1.571,0.974,0.39,1.687,0.526,-0.273,-0.975,0.263,0.887,-1.4,-0.656,-0.275,-1.017,-0.110769231,0.298,-0.294,-0.632,0.231,0.079,1.459,0.594,-1.153,0.922,0.51,-0.154,-0.94,-1.365,-0.034230769,-0.016,-0.181,-0.569,1.749,0.555,0.491,-0.256,-0.95,1.097,0.379,0.164,-0.33,0.824,0.227461538,1.37,-1.896,-1.629,0.742,0.649,0.679,-0.757,-0.4,-1.089,-1.121,-0.458,0.061,-0.576,-0.340384615
2014,X1002,1.437,108.5,37.1,-0.635,0.226,-0.211,-0.584,0.449,0.683,0.21,-1.109,0.341,1.074,-0.859,0.316,0.766,0.051307692,-1.425,-0.773,-0.197,-0.909,-2.344,-0.799,1.015,0.564,-0.623,1.268,0.448,-1.756,-1.648,-0.552230769,0.406,-0.186,-0.386,0.203,0.941,0.429,-0.339,0.986,2.201,-2.514,-0.238,0.06,-0.92,0.049461538,-0.43,-0.379,0.349,0.467,0.037,-0.972,-0.585,0.748,-0.297,-0.668,-0.2,-0.93,-0.631,-0.268538462,-0.55,-0.259,0.328,0.281,-1.044,0.805,-0.322,0.217,0.726,-2.121,-0.682,-0.766,-0.633,-0.309230769
2015,X1002,1.349,108.5,37.1,-0.029,0.748,0.187,-1.994,1.677,-1.275,-1.049,-0.63,0.922,0.094,0.896,-0.642,1.054,-0.003153846,-0.871,-0.256,-1.947,-1.119,-0.157,1.126,-0.302,2.929,-1.486,-0.689,0.097,-1.562,0.521,-0.285846154,0.444,-0.349,0.028,-0.633,0.065,-1.479,-0.959,-0.663,2.764,0.33,-1.227,0.099,2.038,0.035230769,1.751,-0.164,-0.888,-2.032,-0.197,0.955,0.478,0.608,-0.676,-1.435,1.223,0.135,-1.038,-0.098461538,0.107,1.42,-0.171,0.596,-0.104,-0.122,0.713,-0.332,0.361,-1.319,-0.515,0.528,1.339,0.192384615
2016,X1002,1.037,108.5,37.1,0.671,1.061,0.228,1.902,-0.311,0.638,-0.831,1.317,-0.08,-0.773,-1.709,-0.016,-1.356,0.057,1.478,-0.826,-1.428,-0.108,-1.451,0.026,1.131,-1.3,-0.302,-0.489,0.171,0.685,0.377,-0.156615385,-1.502,0.347,-1.928,-2.066,-0.131,0.716,0.594,0.577,-0.447,0.536,1.745,0.324,-0.527,-0.135538462,-1.639,0.08,0.22,0.765,-0.564,0.365,-0.477,-1.012,0.81,1.82,1.647,0.083,1.648,0.288153846,-0.993,-0.881,-0.974,0.968,-0.462,-0.912,-0.627,0.03,0.225,2.93,0.298,-0.688,-0.299,-0.106538462
2017,X1002,0.876,108.5,37.1,-1.651,-0.213,-1.262,3.39,0.854,-1.378,0.05,0.535,0.754,0.591,2.077,-0.099,-0.169,0.267615385,1.703,-0.426,-0.85,-0.058,-0.345,0.519,0.639,1.117,-0.573,1.235,1.115,-2.286,0.425,0.170384615,0.687,-0.98,-2.14,-0.663,-0.37,-0.807,0.114,-0.138,-1.728,0.322,1.302,-1.415,1.142,-0.359538462,-0.025,0.378,-1.115,-1.927,-0.406,1.669,0.289,0.536,-1.795,0.645,0.249,-1.001,0.435,-0.159076923,-0.288,-1.284,-0.869,-0.3,0.47,0.976,0.766,1.268,0.113,0.507,-0.062,-0.129,-1.388,-0.016923077
2018,X1002,0.895,108.5,37.1,-0.35,-0.094,0.286,0.207,-2.095,-0.598,0.206,0.494,2.228,0.35,-0.571,-0.024,-0.07,-0.002384615,0.398,-1.162,1.624,0.758,-1.607,-0.045,0.795,0.89,0.311,0.813,0.203,0.742,1.123,0.372538462,1.188,0.331,-0.719,-1.444,-1.007,-0.455,1.434,-0.168,0.545,-0.069,-0.138,0.85,0.485,0.064076923,-0.952,1.581,1.271,-1.861,0.247,-0.581,-0.376,-1.556,-0.049,0.977,0.365,0.255,0.134,-0.041923077,-0.907,0.196,0.091,1.848,1.575,0.758,0.526,0.825,-0.705,-1.344,0.236,0.773,-1.221,0.203923077
2019,X1002,1.024,108.5,37.1,0.756,-0.087,1.749,0.85,-0.507,1.211,-0.321,-2.078,1.934,-0.138,-0.316,-0.446,0.72,0.255923077,0.308,0.447,-0.127,-0.114,1.17,-0.884,-1.479,1.103,-0.622,-0.343,-0.079,0.02,-0.035,-0.048846154,2.055,-0.519,0.436,0.066,-0.126,0.38,-0.088,0.576,-0.731,0.609,0.05,-0.941,-1.298,0.036076923,-0.522,0.409,-1.253,-0.482,-0.05,1.902,-0.273,-0.281,-1.992,-0.926,2.566,-0.213,1.539,0.032615385,-1.667,0.354,-2.199,-0.916,-1.923,1.739,1.284,1.342,-0.084,-0.457,-1.209,0.779,-1.173,-0.317692308
1969,X1003,0.956,112.3,40.2,-0.539,1.441,-0.164,1.225,-1.292,-2.251,-0.996,0.196,-0.495,0.401,0.259,0.361,-0.168,-0.155538462,-0.537,1.182,1.276,-0.574,-0.276,0.581,-1.681,-1.269,-0.701,-2.02,0.316,1.914,1.439,-0.026923077,-1.317,-0.227,1.129,-1.753,-1.354,1.045,1.008,2.484,0.37,-0.544,-0.719,-0.519,0.732,0.025769231,1.146,0.296,1.095,1.153,1.534,0.123,0.908,-1.35,1.088,-1.164,-0.261,1.002,-0.447,0.394076923,-0.047,-0.187,-1.325,0.098,1.137,0.266,-1.645,0.64,0.254,0.421,0.324,-0.75,0.556,-0.019846154
1970,X1003,0.981,112.3,40.2,0.227,1.125,-0.163,-0.702,1.113,-1.779,-2.091,0.629,0.547,-0.906,-1.25,-1.083,-0.203,-0.348923077,-0.677,0.283,0.179,1.89,-0.195,-0.797,0.059,0.364,0.358,0.837,-0.714,-0.011,-1.128,0.034461538,-1.143,-0.494,-2.425,0.236,1.466,-0.478,-0.382,-0.032,-1.142,1.31,0.312,0.525,-0.521,-0.212923077,1.541,0.437,-0.222,-0.16,-0.028,2.118,0.905,-1.135,-0.57,0.21,-1.254,0.519,0.666,0.232846154,-1.644,0.366,-0.11,1.13,0.204,1.228,1.51,0.906,1.153,-0.316,-0.705,0.389,0.238,0.334538462
1971,X1003,0.901,112.3,40.2,0.492,0.834,1.399,-0.351,-0.164,1.301,0.425,0.861,-0.702,-0.199,-0.263,0.378,1.678,0.437615385,-0.718,1.712,-0.494,-0.329,1.492,0.85,-0.358,-0.496,0.496,-0.373,1.875,-2.144,-0.685,0.063692308,0.441,0.059,-0.216,2.339,0.204,0.126,0.935,-0.81,0.502,0.444,-1.437,-0.423,-0.446,0.132153846,-1.227,1.245,-1.299,0.099,-0.73,-0.889,1.292,-0.772,-0.446,-0.957,-0.232,-0.377,-0.823,-0.393538462,-0.117,0.279,-0.543,0.505,0.348,-1.465,-2.317,-1.204,-0.765,0.359,-0.108,-1.581,-1.268,-0.605923077
1972,X1003,1.071,112.3,40.2,0.268,-0.287,0.898,-1.727,-0.39,-0.815,-0.295,-0.973,0.69,-0.999,0.061,-0.339,1.091,-0.216692308,-0.871,-1.64,1.128,0.881,-0.865,2.417,-0.339,-1.753,1.145,-0.706,1.86,0.824,-0.778,0.100230769,-0.507,0.44,-0.913,1.177,-1.92,-1.555,0.104,1.038,-1.218,-0.463,0.506,-0.174,-0.555,-0.310769231,0.573,1.14,0.498,-0.636,-1.916,-0.673,-0.856,0.025,0.783,0.693,1.055,0.243,-0.467,0.035538462,1.146,1.431,-0.665,-0.76,-0.815,1.008,0.461,-0.909,1.144,-0.259,-1.052,0.261,-0.387,0.046461538
1973,X1003,0.919,112.3,40.2,0.653,0.373,-1.648,-0.737,1.369,1.244,0.549,0.938,-0.058,-1.184,-0.34,-0.336,-1.756,-0.071769231,-0.54,-0.752,-1.147,0.744,-1.547,0.343,-0.102,-0.902,1.065,-0.539,-0.797,1.094,-0.378,-0.266,1.251,-0.863,-0.595,0.995,-1.274,-2.117,-0.535,-0.308,1.941,0.86,-2.012,-0.849,1.014,-0.191692308,-2.165,-0.568,1.42,-0.766,1.185,0.147,-0.342,1.394,-1.471,0.615,-0.308,-0.212,1.41,0.026076923,-0.465,1.017,0.965,-0.862,-0.867,-1.214,0.198,-0.903,0.651,0.864,0.32,-0.035,-0.068,-0.030692308
1974,X1003,0.722,112.3,40.2,-0.123,0.403,0.229,0.622,1.116,-0.168,-1.546,-1.395,0.278,-0.331,2.026,0.706,-0.385,0.110153846,-0.623,0.525,1.481,-0.44,-0.619,0.675,1.601,-1.044,-0.656,-1.119,-1.888,-0.41,-0.904,-0.263153846,-1.513,-0.571,0.991,-0.209,0.702,-1.88,0.071,-0.044,-0.919,1.328,-1.037,-0.833,0.761,-0.242538462,-2.799,0.116,-0.224,1.322,-0.29,-0.427,0.221,0.383,-1.456,1.11,2.354,-0.485,-0.802,-0.075153846,-2.191,0.942,-0.068,1.067,-1.012,-0.563,0.292,-1.272,0.666,0.82,0.525,0.326,0.905,0.033615385
1975,X1003,0.909,112.3,40.2,-0.414,-1.042,1.654,-0.291,-0.898,0.428,-1.253,1.739,-0.859,0.168,-1.787,-0.428,-0.992,-0.305769231,0.529,0.633,0.916,1.662,-0.653,0.437,-0.462,1.638,0.906,-1.419,1.952,-0.295,0.643,0.499,0.372,-0.129,2.014,-0.667,-2.285,-0.806,0.24,-0.935,1.124,-0.783,1.955,0.605,0.516,0.093923077,-0.963,-0.279,0.577,-0.656,-1.405,-0.539,-0.228,-0.84,0.107,-0.08,-1.621,-2.754,0.574,-0.623615385,-0.239,-0.629,0.498,-0.377,2.426,0.495,-0.929,-0.605,-0.029,0.938,0.118,-0.039,1.881,0.269923077
1976,X1003,1.105,112.3,40.2,-2.643,-1.728,1.415,-0.214,0.428,0.813,-0.111,-0.799,1.205,-0.913,-0.105,-0.985,2.972,-0.051153846,0.771,0.327,0.335,-1.156,0.35,1.251,-0.618,-0.708,-1.325,-1.012,0.492,0.404,-0.128,-0.078230769,0.387,-1.597,-0.33,-1.425,0.686,1.024,1.69,0.435,-0.931,-0.901,-0.078,0.975,0.704,0.049153846,0.172,-0.772,0,-0.221,-0.879,1.477,-0.324,-0.518,-0.431,-0.388,-0.077,1.379,-0.941,-0.117153846,-0.306,-1.589,-1.646,-0.54,1.691,0.22,1.119,-0.044,-1.423,-0.186,0.109,-2.137,0.93,-0.292461538
1977,X1003,0.817,112.3,40.2,-0.093,0.642,0.42,-0.113,-1.228,-0.651,-1.413,0.765,-0.084,-0.175,1.179,-1.203,-0.494,-0.188307692,1.603,1.746,0.575,-0.938,-0.316,-1.249,1.627,0.898,0.16,1.083,-1.407,0.255,1.111,0.396,0.884,-0.12,0.049,0.615,0.302,-0.938,1.024,-1.434,0.398,-0.789,-0.258,-1.156,-1.871,-0.253384615,-1.123,-0.455,0.225,-1.262,2.543,-0.901,0.411,1.33,0.683,-1.366,-1.14,-0.269,0.969,-0.027307692,-0.805,-0.143,0.872,-0.891,-0.131,-1.05,0.184,-0.29,0.433,-1.585,1.161,0.422,-0.836,-0.204538462
1978,X1003,1.037,112.3,40.2,0.43,-1.529,0.721,-1.864,-0.476,-0.305,-1.983,0.318,-0.446,-1.83,-0.836,0.669,1.148,-0.460230769,-2.449,1.675,0.204,1.167,-1.411,-0.957,0.224,0.606,-1.987,-1.045,-0.811,-0.014,-1.526,-0.486461538,0.903,1.652,-1.75,0.773,-0.717,-0.972,-0.42,-1.184,-0.451,-1.903,-0.117,-0.714,-0.043,-0.380230769,-0.199,0.063,-0.299,0.082,-1.285,1.75,1.21,-1.398,0.352,0.115,-0.395,1.423,0.539,0.150615385,1.848,-1.184,-0.268,0.335,1.649,-0.232,-0.526,1.09,-0.743,1.882,0.544,-1.253,-0.221,0.224692308
1979,X1003,0.666,112.3,40.2,0.535,0.002,-1.197,0.838,1.617,-0.415,0.784,-1.064,-0.077,-0.447,-0.139,-2.333,0.096,-0.138461538,0.495,-1.459,-0.447,-1.557,-0.184,0.074,0.242,-0.795,0.405,-0.324,-1.03,0.055,-1.531,-0.465846154,0.112,-0.362,2.754,0.84,-0.579,-0.291,-0.037,0.467,0.679,-0.233,-0.52,-0.65,-0.58,0.123076923,-1.799,-1.76,-0.479,-0.15,0.292,0.07,1.411,-0.181,0.461,2.183,-0.84,1.725,-1.747,-0.062615385,-0.671,1.072,-0.509,1.524,-1.59,0.131,-1.067,0.479,-0.227,-0.477,0.875,-0.162,-2.104,-0.209692308
1980,X1003,0.99,112.3,40.2,-0.555,0.25,0.3,-1.443,1.45,2.816,0.901,1.144,0.076,1.171,1.943,-0.417,0.109,0.595769231,-0.318,-0.417,-0.344,0.637,0.597,-0.06,-1.295,0.538,-1.073,0.524,0.131,1.983,-0.679,0.017230769,-1.655,-0.039,-0.031,-0.648,-1.3,-1.095,0.765,1.372,1.34,-1.646,0.949,-1.7,-0.765,-0.342538462,1.477,0.113,-0.871,1.023,-1.843,-0.06,-1.19,-2.265,-1.436,-0.157,0.817,-1.27,-1.642,-0.561846154,1.608,-0.556,-0.496,1.498,1.008,-0.591,0.179,-0.776,1.922,-0.481,-0.374,-0.639,-1.668,0.048769231
1981,X1003,1.137,112.3,40.2,1.78,0.564,-0.954,-0.209,1.109,0.126,-1.03,0.033,1.637,-1.151,-1.867,0.181,0.495,0.054923077,-0.266,-1.434,-0.604,0.197,-1.343,-1.151,0.749,0.556,-0.074,0.446,-0.275,1.099,-0.873,-0.228692308,0.33,-1.101,0.711,-0.369,-1.183,0.591,-1.501,0.891,1.737,1.209,-0.237,-0.217,-0.826,0.002692308,-1.847,-1.745,0.055,-1.276,-0.241,-1.207,1.269,-0.127,1.701,-0.537,-0.188,0.647,0.777,-0.209153846,-0.478,-0.205,0.627,1.065,-0.424,0.138,-0.108,-0.498,-1.756,2.464,-0.231,0.247,-1.098,-0.019769231
1982,X1003,1.127,112.3,40.2,0.286,0.189,-0.458,-0.439,-0.571,0.473,-0.272,0.818,-1.111,-1.193,-0.804,-1.375,-0.143,-0.353846154,-1.642,-1.031,1.239,0.739,1.001,-1.754,1.169,-1.153,0.274,-1.949,1.375,2.048,-1.521,-0.092692308,0.378,-0.333,0.461,-1.49,-0.376,0.201,0.214,0.756,0.233,0.431,0.715,0.24,-0.392,0.079846154,-0.711,-0.006,-0.915,-0.773,0.321,0.091,0.888,0.764,-2.018,-1.468,-1.591,-0.327,-0.962,-0.515923077,0.078,1.982,-1.639,-1.555,2.023,-0.789,1.274,1.127,0.328,0.967,0.74,0.72,-1.666,0.276153846
